   P(mW)         I3         I4         I5     K3     K4     K5   g2_33   g2_44   g2_55  (g-1)/K2_3  (g-1)/K2_4  (g-1)/K2_5
--------------------------------------------------------------------------------------------------------------------------
     2.5       6499       3775       55.8   1.69   0.68   0.54   0.988   1.122     nan     -0.0043      0.2661         nan
     3.4   1.13e+04       4715       66.7   1.99   1.16   1.14   1.078   1.044     nan      0.0197      0.0328         nan
     4.6  2.231e+04       7632      110.7   2.48   2.19   2.55   1.095   1.010  12.000      0.0154      0.0021      1.6907
     6.0  4.504e+04  1.556e+04      265.4   2.76   3.09   3.87   1.106   1.130   2.400      0.0139      0.0136      0.0935
     7.6  8.759e+04  3.464e+04        732   2.89   3.60   4.56   1.109   1.141   1.526      0.0131      0.0109      0.0254
     9.4  1.625e+05  7.673e+04       2000   2.95   3.85   4.84   1.111   1.149   1.051      0.0128      0.0100      0.0022
    11.4  2.893e+05  1.642e+05       5170   2.97   3.94   4.91   1.111   1.152   1.192      0.0125      0.0098      0.0080
    13.6  4.836e+05   3.26e+05  1.211e+04   2.95   3.95   4.89   1.108   1.150   1.185      0.0124      0.0096      0.0078
    15.9  7.646e+05  6.024e+05  2.584e+04   2.93   3.93   4.86   1.104   1.145   1.183      0.0121      0.0094      0.0077
    18.3  1.162e+06  1.058e+06  5.192e+04   2.81   3.79   4.74   1.101   1.141   1.166      0.0128      0.0098      0.0074
    21.0   1.68e+06   1.74e+06  9.721e+04   2.73   3.69   4.64   1.105   1.145   1.173      0.0140      0.0106      0.0080
