   P(mW)         I3         I4         I5     K3     K4     K5   g2_33   g2_44   g2_55  (g-1)/K2_3  (g-1)/K2_4  (g-1)/K2_5
--------------------------------------------------------------------------------------------------------------------------
     7.7  3.924e+04       9428      771.1   2.88   3.32   4.87   1.085   1.017   2.087      0.0102      0.0015      0.0458
    11.5  1.248e+05  3.577e+04       5447   2.88   3.60   4.84   1.099   1.147   0.939      0.0119      0.0114     -0.0026
    13.7  2.063e+05  6.855e+04  1.267e+04   2.89   3.80   4.85   1.096   1.128   1.017      0.0115      0.0089      0.0007
    16.0  3.241e+05  1.249e+05  2.702e+04   2.94   3.90   4.86   1.102   1.142   1.206      0.0118      0.0093      0.0087
    18.5  4.984e+05  2.211e+05   5.46e+04   3.01   4.02   4.94   1.091   1.129   1.167      0.0100      0.0080      0.0068
    21.0  7.345e+05  3.717e+05  1.033e+05   2.95   3.96   4.85   1.085   1.123   1.138      0.0098      0.0078      0.0059
    30.0  1.888e+06  1.328e+06  4.868e+05   2.49   3.34   4.06   1.073   1.102   1.116      0.0118      0.0091      0.0070
    39.4  3.602e+06   3.14e+06  1.389e+06   2.18   2.87   3.49   1.054   1.075   1.084      0.0115      0.0091      0.0069
    42.6  4.252e+06  3.905e+06  1.809e+06   2.12   2.79   3.39   1.049   1.067   1.075      0.0109      0.0086      0.0065
