P_mW,I3,I4,I5,K3,K4,K5,g2_33,g2_44,g2_55,collapse_3,collapse_4,collapse_5
2.47,6498.877222222223,3775.148333333334,55.80055555555557,1.6855690421045821,0.6773233493663178,0.5433239716964583,0.9878521581804083,1.122077922077922,nan,-0.004275688283895379,0.26610009759468206,nan
3.43,11303.05138888889,4715.398611111112,66.69833333333334,1.9895446036184907,1.1620634058563972,1.1413432949162257,1.0780105777054516,1.044280442804428,nan,0.019708162476010916,0.032790822084094465,nan
4.63,22314.763333333336,7631.732500000001,110.66361111111114,2.4753291358354197,2.1852924809287657,2.550704068013088,1.0946299401197606,1.0100898410504493,12.0,0.015444101878615314,0.002112833050341629,1.6907232914305765
6.03,45042.68694444445,15559.43388888889,265.37444444444446,2.7646049574349654,3.0913513412914675,3.868564460121794,1.1059620524706077,1.1296212071990124,2.4,0.013863861049904606,0.013563736004880873,0.09354667599412922
7.61,87594.63222222225,34641.21416666667,732.0016666666668,2.885616047646625,3.599590435038184,4.555395900382223,1.1091441931842378,1.1407199560073886,1.5263157894736843,0.013107611047646794,0.010860492310251867,0.025362621807884147
9.41,162504.8788888889,76732.28694444447,1999.7669444444446,2.953793778354573,3.851746923826653,4.835725161246572,1.1113878442753231,1.1489081277159106,1.0510105871029838,0.012766664813300157,0.010036976661583444,0.0021814090098924484
11.41,289304.1097222222,164210.16583333336,5169.686111111112,2.970921735240168,3.9433540787115646,4.908436420251526,1.1105691662507728,1.1521608414682103,1.1923587158397453,0.012527130816816657,0.009785237071148306,0.007984091939532608
13.58,483616.8766666667,326034.90027777787,12112.944444444445,2.9510833238447702,3.9478185890456814,4.885221495089674,1.1080122570577757,1.1502089025951798,1.185323472391757,0.012402524607124477,0.009637875189764692,0.007765365649653865
15.86,764560.6561111112,602385.4808333335,25835.531944444447,2.925608347534201,3.9283615046964115,4.859888202315354,1.1036296810656316,1.144794854790021,1.1830195814774351,0.012107425030921801,0.009382751980108862,0.007748988213207896
18.32,1161823.9466666668,1057552.2304166667,51921.94125,2.8137991052582194,3.7914522776404596,4.737942086344759,1.1010707840291891,1.1410947059173784,1.1656710080098656,0.01276554791998558,0.00981520852711185,0.007380181099277099
20.97,1680300.3650000002,1740261.3066666666,97205.99583333335,2.7311830703312596,3.6867516893242733,4.641697420553004,1.1046961690691517,1.1446708471634037,1.1725684979283986,0.014035541325744378,0.010643715283349068,0.00800954536962543
